"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered","Hour (yesterday)","Orders (yesterday)","Total sales (yesterday)","Net sales (yesterday)","Quantity ordered (yesterday)","Orders (yesterday) ","Total sales (yesterday) ","Net sales (yesterday) ","Quantity ordered (yesterday) "
"2026-08-28 00:00:00","#2142678",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142717",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142709",0,0,0,0,"2026-08-27 00:00:00",1,1916,1712.38,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142666",0,0,0,0,"2026-08-27 00:00:00",1,709,675.24,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142681",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145463",1,1499,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145453",1,3203,3050.48,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145445",1,1617,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142697",0,0,0,0,"2026-08-27 00:00:00",1,4598,4379.04,5,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142689",0,0,0,0,"2026-08-27 00:00:00",1,192,182.86,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142701",0,0,0,0,"2026-08-27 00:00:00",1,1109,943.81,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142731",0,0,0,0,"2026-08-27 00:00:00",1,1299,1237.14,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142670",0,0,0,0,"2026-08-27 00:00:00",1,1599,1522.86,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145439",1,1699,1618.1,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145409",1,2198,2093.34,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145417",1,2367,2141.9,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145427",1,199,189.52,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145390",1,2998,2855.24,5,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145398",1,1949,1856.19,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145386",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145431",1,1599,1522.86,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145401",1,1499,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145454",1,991,943.81,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142686",0,0,0,0,"2026-08-27 00:00:00",1,2187,1970.48,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145464",1,2097,1997.14,5,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142698",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142710",0,0,0,0,"2026-08-27 00:00:00",1,3727.1,3549.62,5,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142720",0,0,0,0,"2026-08-27 00:00:00",1,1898,1807.62,3,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142661",0,0,0,0,"2026-08-27 00:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142659",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142669",0,0,0,0,"2026-08-27 00:00:00",1,1617,1427.62,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142706",0,0,0,0,"2026-08-27 00:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142687",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145426",1,1617,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142728",0,0,0,0,"2026-08-27 00:00:00",1,1547,1473.33,3,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142690",0,0,0,0,"2026-08-27 00:00:00",1,2652,2413.33,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145442",1,2998,2855.24,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145389",1,2097,1934.4,5,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145397",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145420",1,1399,1332.38,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145410",1,1699,1618.1,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145428",1,1109,943.81,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145418",1,1499,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145406",1,3038,2893.33,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145436",1,1499,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145381",1,1617,1427.62,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142664",0,0,0,0,"2026-08-27 00:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142715",0,0,0,0,"2026-08-27 00:00:00",1,2998,2855.24,4,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142725",0,0,0,0,"2026-08-27 00:00:00",1,1399,1332.38,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145451",1,4197,3997.14,6,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142683",0,0,0,0,"2026-08-27 00:00:00",1,1999,1903.81,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145461",1,1848,1760,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145459",1,1948,1855.24,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142695",0,0,0,0,"2026-08-27 00:00:00",1,2878.2,2741.14,4,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145447",1,1898,1807.62,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142672",0,0,0,0,"2026-08-27 00:00:00",1,1499,1427.62,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142733",0,0,0,0,"2026-08-27 00:00:00",1,4298,4093.34,5,-100,-100,-100,-100
"2026-08-28 00:00:00","#2142703",0,0,0,0,"2026-08-27 00:00:00",1,1817,1618.1,1,-100,-100,-100,-100
"2026-08-28 00:00:00","#2145425",1,1499,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145415",1,1699,1618.1,2,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145392",1,1637,1446.66,1,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145384",1,1887.3,1797.43,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145403",1,2413,2298.1,3,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2145433",1,1499,1427.62,1,"2026-08-27 00:00:00",0,0,0,0,,,,
